Rank,Club,Country,Level,Elo,From,To
None,Union Berlin,GER,1,1566.53295898,2020-01-19,2020-01-25
None,Union Berlin,GER,1,1577.83325195,2020-01-26,2020-02-01
None,Union Berlin,GER,1,1573.5189209,2020-02-02,2020-02-08
None,Union Berlin,GER,1,1588.8840332,2020-02-09,2020-02-15
None,Union Berlin,GER,1,1583.56494141,2020-02-16,2020-02-18
None,Union Berlin,GER,1,1585.03479004,2020-02-19,2020-02-19
None,Union Berlin,GER,1,1588.02514648,2020-02-20,2020-02-20
100,Union Berlin,GER,1,1596.13415527,2020-02-21,2020-02-21
99,Union Berlin,GER,1,1596.13415527,2020-02-22,2020-02-22
97,Union Berlin,GER,1,1596.13415527,2020-02-23,2020-02-24
94,Union Berlin,GER,1,1608.61779785,2020-02-25,2020-02-25
92,Union Berlin,GER,1,1611.71826172,2020-02-26,2020-02-26
93,Union Berlin,GER,1,1611.71826172,2020-02-27,2020-02-27
89,Union Berlin,GER,1,1620.89880371,2020-02-28,2020-02-28
87,Union Berlin,GER,1,1622.42749023,2020-02-29,2020-02-29
88,Union Berlin,GER,1,1622.42749023,2020-03-01,2020-03-01
87,Union Berlin,GER,1,1624.18823242,2020-03-02,2020-03-03
86,Union Berlin,GER,1,1624.18823242,2020-03-04,2020-03-04
85,Union Berlin,GER,1,1624.18823242,2020-03-05,2020-03-07
90,Union Berlin,GER,1,1614.98681641,2020-03-08,2020-03-08
89,Union Berlin,GER,1,1614.98681641,2020-03-09,2020-03-10
88,Union Berlin,GER,1,1618.86767578,2020-03-11,2020-03-11
88,Union Berlin,GER,1,1614.48913574,2020-03-12,2020-03-12
97,Union Berlin,GER,1,1605.86401367,2020-03-13,2020-05-17
98,Union Berlin,GER,1,1603.57250977,2020-05-18,2020-05-22
None,Union Berlin,GER,1,1591.94055176,2020-05-23,2020-05-27
None,Union Berlin,GER,1,1591.94360352,2020-05-28,2020-05-31
None,Union Berlin,GER,1,1585.89245605,2020-06-01,2020-06-07
None,Union Berlin,GER,1,1586.30090332,2020-06-08,2020-06-13
None,Union Berlin,GER,1,1596.43286133,2020-06-14,2020-06-16
100,Union Berlin,GER,1,1601.46838379,2020-06-17,2020-06-17
None,Union Berlin,GER,1,1601.46838379,2020-06-18,2020-06-19
100,Union Berlin,GER,1,1601.46838379,2020-06-20,2020-06-20
None,Union Berlin,GER,1,1592.11169434,2020-06-21,2020-06-27
94,Union Berlin,GER,1,1604.99182129,2020-06-28,2020-06-30
95,Union Berlin,GER,1,1604.99182129,2020-07-01,2020-07-05
97,Union Berlin,GER,1,1604.99182129,2020-07-06,2020-07-08
96,Union Berlin,GER,1,1604.99182129,2020-07-09,2020-07-09
97,Union Berlin,GER,1,1604.99182129,2020-07-10,2020-07-10
98,Union Berlin,GER,1,1604.99182129,2020-07-11,2020-07-12
99,Union Berlin,GER,1,1604.99182129,2020-07-13,2020-07-16
98,Union Berlin,GER,1,1604.99182129,2020-07-17,2020-07-22
96,Union Berlin,GER,1,1604.99182129,2020-07-23,2020-08-01
97,Union Berlin,GER,1,1604.99182129,2020-08-02,2020-08-03
